band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
2,421189300.0,217515380.0,728992200.0,567.5151,196.30888,1039.5426,45000.0,0.16,1.0,0.008846748116027696,0.0063984224173442
5,256399040.0,107458480.0,604409340.0,1477.1005,140.5631,3171.017,117000.0,0.17,1.3,0.01059560069542309,0.003969010248311788
8,94868930.0,40432556.0,269011170.0,1959.0045,140.73006,4604.4473,189000.0,0.18,1.5,0.009551045993737906,0.003123040397909581
11,42741930.0,16364339.0,123588290.0,2502.5835,133.89415,4663.5854,495000.0,0.18,1.2,0.004539248803620999,0.0019299803152697053
14,15121418.0,6408816.0,42255510.0,2236.7607,106.83933,4308.8604,1134000.0,0.19,1.4,0.00576770170835339,0.0012751894232635628
17,6578937.5,2961992.0,17241782.0,1863.9362,95.43343,3828.6301,2574000.0,0.19,1.0,0.007003732668262486,0.0008464353782179778
20,3620059.8,1542817.6,14403668.0,5286.2573,82.38473,5972.2104,5967000.0,0.2,1.1,0.007274019724060082,0.0005559445407404772
23,3205381.5,574030.56,29284528.0,27192.082,81.7782,9130.185,13887000.0,0.2,0.6,0.00887412515004632,0.0003644288842482448
26,2340697.0,151495.3,21622058.0,39856.977,82.39868,9684.788,31968000.0,0.21,0.3,0.010233569427120396,0.0002401951053511448
29,106990.04,19497.756,898942.06,24151.664,91.35466,9016.352,73701000.0,0.23,-0.1,0.015815230029769336,0.00015819341995114793
32,4612.122,2099.7432,16781.836,3615.2883,76.30032,5504.406,59634000.0,0.28,0.0,0.012965108896745021,0.00017586420018087293
