band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0
2,443144800.0,204059644.56,1172902029.440001,1951.210974835844,93.38998713156292,3809.45340524855,45000.0,0.16,1.1,0.0117997256129378,0.0063984224173442,0.06457933056928977,0.14
5,242532050.0,116765057.72,637678290.2400006,1732.740711765486,102.4598432574532,3959.468650344507,117000.0,0.17,1.5,0.0112008584490015,0.0039690102483117,0.026639797612306976,0.14
8,75098780.0,41355422.76,165232861.68,997.550337764297,76.81662778601358,2699.5812128775365,189000.0,0.17,1.1,0.006730527083013,0.0031230403979095,0.07339817991908837,0.15
11,66805550.0,19091831.78,428698420.8000004,13976.007954256174,62.8774692717801,8349.733185178333,495000.0,0.18,1.4,0.0064113531489488,0.0019299803152697,0.039361766763984285,0.15
14,19646696.0,9259366.985,74271243.64000104,4449.842882787153,48.65338665782991,6157.999253858759,1134000.0,0.19,1.7,0.0069256513932672,0.0012751894232635,0.045338591236949374,0.15
17,9104094.0,4527121.1925,34048684.16000013,4455.632699813031,42.402900456547954,6093.362016428053,2574000.0,0.19,1.4,0.0084782703595424,0.0008464353782179,0.044811873093089205,0.16
20,4104359.8,2023370.86,13520167.655000009,3024.862169070585,61.90266307513152,4879.518751003925,5967000.0,0.19,0.9,0.0058269343279118,0.0005559445407404,0.05587613402523217,0.17
23,1838955.8,676133.7943750002,10533508.79500016,11453.019887860228,71.84764425563748,7815.204602676093,13887000.0,0.21,1.1,0.01009144896269,0.0003644288842482,0.043248408067130206,0.18
26,1165549.6,200796.1753125,11037441.305000143,27543.82942913461,79.59856398311369,9199.390263212908,31968000.0,0.2,0.2,0.0079695635683861,0.0002401951053511,0.021175799056435962,0.19
29,389424.38,25620.342011718752,3816462.985000001,38067.579156078704,100.88522374661218,9678.418391288516,73701000.0,0.23,0.1,0.0107881574685005,0.0001581934199511,0.01952973553193532,0.23
