band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,999561700.0,204592572.24000007,2628283943.68,2560.4480943385083,254.06494592699528,4885.991132898156,45000.0,0.17,1.6,0.0117573935280552,0.0063984224173442,0.0370973168865024,0.14,0.169,1.55,0.009992888303504224,0.169,1.55,0.009992888303504224,18984
5,822668160.0,107130332.12,4312076380.160004,11296.462093993225,211.9341692426372,8693.059848233199,117000.0,0.16,0.7,0.0106261803646663,0.0039690102483117,0.0549078036216531,0.14,0.162,0.79,0.008443289039321678,0.162,0.79,0.008443289039321678,24678
8,268978080.0,40919289.2,1513901633.280026,12397.882607100895,231.8604272443906,8746.283018448592,189000.0,0.17,0.9,0.0093570909923701,0.0031230403979095,0.0431101735065065,0.15,0.171,0.95,0.008794294099650823,0.171,0.95,0.008794294099650823,23625
11,104379220.0,16437441.97,477483033.6,7007.382374854295,198.4251734393029,8168.126969208415,495000.0,0.19,1.7,0.0074279971395228,0.0019299803152697,0.0459882236742235,0.15,0.188,1.63,0.005684060827510313,0.188,1.63,0.005684060827510313,58729
14,35322284.0,6649203.420000001,155114902.08000013,6816.936434853154,155.40467689689595,7821.21667686844,1134000.0,0.2,1.9,0.0078403236731009,0.0012751894232635,0.046173623623364,0.16,0.198,1.84,0.004870059237923274,0.198,1.84,0.004870059237923274,79734
17,17681448.0,3249794.3887500004,90895243.8800008,8762.24484741697,140.5492067588699,8233.500967057227,2574000.0,0.2,1.5,0.0050874225306012,0.0008464353782179,0.0421086051092383,0.16,0.198,1.42,0.0036121694695424,0.198,1.42,0.0036121694695424,135736
20,5851414.5,1784321.5768750005,22182872.73000001,4678.85777145707,125.97967484534084,6448.189289963609,5967000.0,0.19,0.7,0.0064143737181197,0.0005559445407404,0.0261376281850345,0.17,0.192,0.77,0.0043534048246720025,0.192,0.77,0.0043534048246720025,93234
23,3808226.2,689270.8215625001,26820473.96000003,16237.410318081958,112.20886844649952,8765.996130580104,13887000.0,0.2,0.6,0.0093053133328724,0.0003644288842482,0.0238760997504413,0.18,0.198,0.57,0.005799387735740333,0.198,0.57,0.005799387735740333,54246
26,1856457.5,179856.75328125,18140651.33000002,34364.81927311539,99.1338867651584,9564.7477582323,31968000.0,0.2,0.1,0.0077213192042135,0.0002401951053511,0.0252459565497482,0.2,0.201,0.12,0.006598692265486816,0.201,0.12,0.006598692265486816,44446
29,155747.58,22201.8567578125,971773.710625,16498.633761851434,112.68590667962796,8910.249359269194,73701000.0,0.22,-0.2,0.0175962558364147,0.0001581934199511,0.0264893074048978,0.23,0.218,-0.26,0.010885900694300954,0.218,-0.26,0.010885900694300954,15180
