band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
2,530335360.0,219660690.0,1100523300.0,1111.6014,160.29932,2026.3856,45000.0,0.16,1.1,0.010689452047708825,0.0063984224173442
5,297439170.0,123446870.0,759215360.0,1769.1471,139.7721,3763.6306,117000.0,0.17,1.4,0.010030807525476013,0.003969010248311788
8,109459700.0,45162260.0,295450720.0,1933.9198,127.241196,4385.3174,189000.0,0.18,1.7,0.007499889050928164,0.003123040397909581
11,49555252.0,20203774.0,175797860.0,3438.2383,110.47904,5745.4126,495000.0,0.19,2.1,0.007144603011746464,0.0019299803152697053
14,24332180.0,9146318.0,109359120.0,6609.7314,73.821175,6718.44,1134000.0,0.19,1.7,0.005368334468890571,0.0012751894232635628
17,12788395.0,4445173.5,65795436.0,7592.665,61.05317,7330.6924,2574000.0,0.19,1.3,0.008415387413401754,0.0008464353782179778
20,9477941.0,2002387.5,65556148.0,14241.125,70.88103,8650.903,5967000.0,0.19,0.9,0.006651606089863038,0.0005559445407404772
23,7354096.5,653834.06,49843964.0,18774.445,70.69868,9387.132,13887000.0,0.21,1.1,0.009203228457290755,0.0003644288842482448
26,5090852.0,180130.83,46200664.0,31646.377,66.42785,9810.706,31968000.0,0.2,0.2,0.010277570393409818,0.0002401951053511448
29,796480.6,22721.932,6629924.0,29016.428,73.69176,9830.31,73701000.0,0.22,-0.1,0.010520286294257275,0.00015819341995114793
32,75839.234,2518.3906,610236.25,25565.398,70.93466,9801.13,59634000.0,0.28,0.2,0.010324754448054252,0.00017586420018087293
